   id, time,  addr, rssi,  ave, lane
  266, 3097, xx:xx, -120, -120,    4
  267, 3107, xx:xx, -120, -120,    4
  268, 3099, xx:xx, -120, -120,    4
  269, 3096, xx:xx, -120, -120,    4
  270,  348, 65:02,  -99, -109,    4
  271, 3112, xx:xx, -120, -109,    4
  272,  238, 65:02,  -94, -107,    5
  273,  964, 65:02,  -97,  -95,    5
  274, 1921, 65:02,  -95,  -96,    5
  275,  958, 65:02,  -91,  -93,    5
  276,  959, 65:02, -100,  -95,    5
  277, 2881, 65:02,  -99,  -99,    5
  278,  480, 65:02,  -90,  -94,    5
  279,  963, 65:02,  -90,  -90,    5
  280, 1438, 65:02,  -87,  -88,    5
  281,  481, 65:02,  -86,  -86,    5
  282,  474, 65:02,  -93,  -89,    5
  283, 1460, 65:02,  -87,  -90,    5
  284,  471, 65:02,  -97,  -92,    5
  285,  961, 65:02,  -84,  -90,    5
  286,  476, 65:02,  -93,  -88,    5
  287, 1452, 65:02, -100,  -96,    5
  288,  464, 65:02,  -93,  -96,    5
  289,  476, 65:02, -101,  -97,    5
  290, 2404, 65:02,  -92,  -96,    5
  291,  478, 65:02,  -94,  -93,    5
  292,  984, 65:02,  -89,  -91,    5
  293, 2874, 65:02,  -97,  -93,    5
  294,  954, 65:02,  -99,  -98,    5
  295, 3105, xx:xx, -120, -109,    5
  296,  255, 65:02,  -89, -104,    5
  297, 2868, 65:02, -101,  -95,    5
  298, 3156, xx:xx, -120, -110,    5
  299, 3100, xx:xx, -120, -120,    5
  300, 3109, xx:xx, -120, -120,    5
  301,  235, 65:02,  -98, -109,    5
  302, 3105, xx:xx, -120, -109,    5
  303, 2657, 65:02, -100, -110,    5
  304,  960, 65:02,  -99,  -99,    5
  305, 3107, xx:xx, -120, -109,    5
  306, 1216, 65:02,  -96, -108,    5
  307,  959, 65:02,  -97,  -96,    5
  308, 3120, xx:xx, -120, -108,    5
  309,  237, 65:02,  -94, -107,    5
  310,  503, 65:02,  -95,  -94,    5
  311,  943, 65:02,  -95,  -95,    5
  312, 1914, 65:02,  -91,  -93,    5
  313,  486, 65:02,  -93,  -92,    5
  314,  477, 65:02,  -98,  -95,    5
  315, 2885, 65:02,  -94,  -96,    5
  316, 1436, 65:02, -101,  -97,    5
  317, 1920, 65:02,  -98,  -99,    5
  318,  964, 65:02,  -98,  -98,    5
  319, 1437, 65:02, -102, -100,    5
  320,  497, 65:02,  -90,  -96,    5
  321,  968, 65:02,  -96,  -93,    5
  322, 1420, 65:02,  -92,  -94,    5
  323,  958, 65:02,  -95,  -93,    5
  324,  471, 65:02,  -92,  -93,    6
  325, 1929, 65:02,  -96,  -94,    6
  326, 3104, xx:xx, -120, -108,    6
  327, 1703, 65:02,  -97, -108,    6
  328,  477, 65:02,  -98,  -97,    6
  329, 1914, 65:02,  -97,  -97,    6
  330, 1456, 65:02,  -97,  -97,    6
  331, 3130, xx:xx, -120, -108,    6
  332,  697, 65:02, -101, -110,    6
  333,  961, 65:02, -103, -102,    6
  334, 3102, xx:xx, -120, -111,    6
  335, 3084, xx:xx, -120, -120,    6
  336, 1966, 65:02,  -97, -108,    6
  337, 3093, xx:xx, -120, -108,    6
  338, 3085, xx:xx, -120, -120,    6
  339, 3101, xx:xx, -120, -120,    6
  340,  810, 65:02,  -98, -109,    6
  341,  470, 65:02,  -99,  -98,    6
  342, 3107, xx:xx, -120, -109,    6
  343, 1218, 65:02,  -98, -109,    6
  344, 2395, 65:02,  -98,  -98,    6
  345,  490, 65:02,  -92,  -95,    6
  346,  468, 65:02,  -94,  -93,    6
  347, 2409, 65:02,  -90,  -92,    6
  348,  471, 65:02,  -98,  -94,    6
  349,  971, 65:02,  -91,  -94,    6
  350, 1438, 65:02, -100,  -95,    6
  351, 2397, 65:02,  -84,  -92,    6
  352,  480, 65:02,  -99,  -91,    6
  353,  483, 65:02,  -91,  -95,    6
  354,  473, 65:02,  -91,  -91,    6
  355,  485, 65:02,  -96,  -93,    6
  356,  477, 65:02,  -90,  -93,    6
  357,  967, 65:02,  -93,  -91,    6
  358, 2399, 65:02,  -93,  -93,    6
  359,  495, 65:02,  -88,  -90,    6
  360,  940, 65:02,  -91,  -89,    6
  361, 2402, 65:02,  -95,  -93,    6
  362, 2884, 65:02,  -98,  -96,    6
  363,  952, 65:02,  -94,  -96,    6
  364, 2883, 65:02,  -97,  -95,    6
  365, 1454, 65:02, -100,  -98,    6
  366, 2396, 65:02,  -99,  -99,    6
  367, 3095, xx:xx, -120, -109,    6
  368, 2654, 65:02,  -98, -109,    6
  369, 2397, 65:02,  -97,  -97,    6
  370, 3097, xx:xx, -120, -108,    6
  371, 3093, xx:xx, -120, -120,    6
  372, 3094, xx:xx, -120, -120,    6
  373, 3097, xx:xx, -120, -120,    6
  374,  620, 65:02,  -98, -109,    6
  375, 1892, 65:02, -101,  -99,    6
  376, 2395, 65:02,  -97,  -99,    6
  377, 2391, 65:02,  -95,  -96,    6
  378,  489, 65:02,  -90,  -92,    6
  379, 1913, 65:02,  -95,  -92,    6
  380, 1438, 65:02,  -99,  -97,    6
  381,  968, 65:02,  -93,  -96,    6
  382,  475, 65:02,  -96,  -94,    6
  383,  484, 65:02,  -97,  -96,    6
  384, 2881, 65:02,  -84,  -90,    6
  385,  481, 65:02,  -85,  -84,    6
  386,  502, 65:02,  -95,  -90,    6
  387, 1418, 65:02,  -93,  -94,    6
  388,  473, 65:02,  -89,  -91,    6
  389,  485, 65:02,  -96,  -92,    6
  390,  476, 65:02,  -97,  -96,    6
  391, 1463, 65:02,  -94,  -95,    6
  392,  463, 65:02,  -92,  -93,    6
  393,  962, 65:02,  -92,  -92,    6
  394,  953, 65:02,  -93,  -92,    6
  395,  971, 65:02,  -97,  -95,    6
  396,  472, 65:02,  -97,  -97,    6
  397, 3103, xx:xx, -120, -108,    6
  398, 1215, 65:02,  -95, -107,    6
  399,  483, 65:02,  -94,  -94,    6
  400, 3096, xx:xx, -120, -107,    7
  401,  266, 65:02, -100, -110,    7
  402, 3150, xx:xx, -120, -110,    7
  403, 2127, 65:02,  -97, -108,    7
  404, 3103, xx:xx, -120, -108,    7
  405, 3103, xx:xx, -120, -120,    7
  406, 3113, xx:xx, -120, -120,    7
  407, 2690, 65:02,  -94, -107,    7
  408, 3117, xx:xx, -120, -107,    7
  409,  711, 65:02,  -98, -109,    7
  410, 2880, 65:02,  -99,  -98,    7
  411, 3123, xx:xx, -120, -109,    7
  412,  718, 65:02,  -98, -109,    7
