id, time_ms, address, rssi, average
347, 485, 65:02, -71, -89
348, 1432, 65:02, -95, -89
349, 485, 65:02, -88, -87
350, 476, 65:02, -89, -85
351, 957, 65:02, -91, -90
352, 475, 65:02, -90, -89
353, 486, 65:02, -92, -90
354, 478, 65:02, -95, -92
355, 499, 65:02, -92, -92
356, 3302, xx:xx, -120, -99
357, 1003, 65:02, -88, -98
358, 482, 65:02, -89, -97
359, 478, 65:02, -88, -96
360, 1915, 65:02, -95, -90
361, 962, 65:02, -94, -91
362, 481, 65:02, -85, -90
363, 484, 65:02, -85, -89
364, 477, 65:02, -86, -87
365, 956, 65:02, -98, -88
366, 487, 65:02, -96, -91
367, 483, 65:02, -86, -91
368, 480, 65:02, -87, -91
369, 477, 65:02, -88, -89
370, 480, 65:02, -87, -87
