   id, time,  addr, rssi,  ave, lane
  422, 2096, xx:xx, -120, -120,    0
  423, 2115, xx:xx, -120, -120,    0
  424, 2146, xx:xx, -120, -120,    0
  425, 2094, xx:xx, -120, -120,    0
  426, 2091, xx:xx, -120, -120,    0
  427, 2117, xx:xx, -120, -120,    0
  428, 2123, xx:xx, -120, -120,    0
  429, 2094, xx:xx, -120, -120,    0
  430, 2088, xx:xx, -120, -120,    0
  431, 2117, xx:xx, -120, -120,    0
  432, 2093, xx:xx, -120, -120,    0
  433, 2098, xx:xx, -120, -120,    0
  434, 2117, xx:xx, -120, -120,    0
  435, 2090, xx:xx, -120, -120,    0
  436, 2097, xx:xx, -120, -120,    0
  437, 2117, xx:xx, -120, -120,    0
  438, 2094, xx:xx, -120, -120,    0
  439, 2146, xx:xx, -120, -120,    0
  440, 2095, xx:xx, -120, -120,    0
  441, 2094, xx:xx, -120, -120,    0
  442, 2116, xx:xx, -120, -120,    0
  443, 2145, xx:xx, -120, -120,    0
  444, 2095, xx:xx, -120, -120,    0
  445, 2094, xx:xx, -120, -120,    0
  446, 2129, xx:xx, -120, -120,    0
  447, 2094, xx:xx, -120, -120,    0
  448, 2095, xx:xx, -120, -120,    0
  449, 2095, xx:xx, -120, -120,    0
  450, 2099, xx:xx, -120, -120,    0
  451, 2093, xx:xx, -120, -120,    0
  452, 2148, xx:xx, -120, -120,    0
  453, 2096, xx:xx, -120, -120,    0
  454, 2178, xx:xx, -120, -120,    0
  455, 2097, xx:xx, -120, -120,    0
  456, 2093, xx:xx, -120, -120,    0
  457, 2098, xx:xx, -120, -120,    0
  458, 2117, xx:xx, -120, -120,    0
  459, 2097, xx:xx, -120, -120,    0
  460, 2124, xx:xx, -120, -120,    0
  461, 2122, xx:xx, -120, -120,    0
  462, 2098, xx:xx, -120, -120,    0
  463, 2096, xx:xx, -120, -120,    0
  464, 2104, xx:xx, -120, -120,    0
  465, 2120, xx:xx, -120, -120,    0
  466, 2105, xx:xx, -120, -120,    0
  467, 2096, xx:xx, -120, -120,    0
  468, 2099, xx:xx, -120, -120,    0
  469, 2148, xx:xx, -120, -120,    0
  470, 2100, xx:xx, -120, -120,    0
  471, 2131, xx:xx, -120, -120,    0
  472, 2099, xx:xx, -120, -120,    0
  473, 2107, xx:xx, -120, -120,    0
  474, 2099, xx:xx, -120, -120,    0
  475, 2101, xx:xx, -120, -120,    0
  476, 2098, xx:xx, -120, -120,    0
  477, 2107, xx:xx, -120, -120,    0
  478, 2125, xx:xx, -120, -120,    0
  479, 2102, xx:xx, -120, -120,    0
  480, 2100, xx:xx, -120, -120,    0
  481, 2103, xx:xx, -120, -120,    0
  482, 2102, xx:xx, -120, -120,    0
  483, 2104, xx:xx, -120, -120,    0
  484, 2160, xx:xx, -120, -120,    0
  485, 2128, xx:xx, -120, -120,    0
  486, 2099, xx:xx, -120, -120,    0
  487, 2128, xx:xx, -120, -120,    0
  488, 2102, xx:xx, -120, -120,    0
  489, 2104, xx:xx, -120, -120,    0
  490, 2102, xx:xx, -120, -120,    0
  491, 2103, xx:xx, -120, -120,    0
  492, 2131, xx:xx, -120, -120,    0
  493, 2103, xx:xx, -120, -120,    0
  494, 2106, xx:xx, -120, -120,    0
  495, 2104, xx:xx, -120, -120,    0
  496, 2107, xx:xx, -120, -120,    0
  497, 2103, xx:xx, -120, -120,    0
  498, 2105, xx:xx, -120, -120,    0
  499, 2164, xx:xx, -120, -120,    0
  500, 2103, xx:xx, -120, -120,    0
  501, 2110, xx:xx, -120, -120,    0
  502, 2104, xx:xx, -120, -120,    0
  503, 2106, xx:xx, -120, -120,    0
  504, 2110, xx:xx, -120, -120,    0
  505, 2130, xx:xx, -120, -120,    0
  506, 2113, xx:xx, -120, -120,    0
  507, 2114, xx:xx, -120, -120,    0
  508, 2107, xx:xx, -120, -120,    0
  509, 2107, xx:xx, -120, -120,    0
  510, 2109, xx:xx, -120, -120,    0
  511, 2113, xx:xx, -120, -120,    0
  512, 2139, xx:xx, -120, -120,    0
  513, 2108, xx:xx, -120, -120,    0
  514, 2164, xx:xx, -120, -120,    0
  515, 2108, xx:xx, -120, -120,    0
  516, 2134, xx:xx, -120, -120,    0
  517, 2111, xx:xx, -120, -120,    0
  518, 2108, xx:xx, -120, -120,    0
  519, 2139, xx:xx, -120, -120,    0
  520, 2090, xx:xx, -120, -120,    0
  521, 2086, xx:xx, -120, -120,    0
  522, 2088, xx:xx, -120, -120,    0
  523, 2095, xx:xx, -120, -120,    0
  524, 2089, xx:xx, -120, -120,    0
  525, 2091, xx:xx, -120, -120,    0
  526, 2092, xx:xx, -120, -120,    0
  527, 2090, xx:xx, -120, -120,    0
  528, 2092, xx:xx, -120, -120,    0
  529, 2135, xx:xx, -120, -120,    0
  530, 2090, xx:xx, -120, -120,    0
  531, 2090, xx:xx, -120, -120,    0
  532, 2093, xx:xx, -120, -120,    0
  533, 2092, xx:xx, -120, -120,    0
  534, 2116, xx:xx, -120, -120,    0
  535, 2087, xx:xx, -120, -120,    0
  536, 2095, xx:xx, -120, -120,    0
  537, 2092, xx:xx, -120, -120,    0
  538, 2092, xx:xx, -120, -120,    0
