476,-76
970,-76
480,-78
955,-76
483,-77
479,-77
960,-75
958,-76
476,-78
478,-75
493,-79
468,-80
482,-78
499,-78
462,-78
481,-79
481,-78
485,-79
476,-80
481,-80
485,-79
475,-79
494,-80
464,-78
480,-80
483,-78
480,-79
479,-79
472,-80
487,-77
477,-80
481,-81
483,-80
472,-79
486,-80
477,-80
487,-80
476,-80
477,-80
482,-80
484,-81
478,-78
480,-79
479,-81
477,-79
482,-80
478,-82
487,-82
476,-84
956,-82
481,-83
474,-81
499,-84
945,-83
478,-83
480,-86
482,-84
480,-83
477,-83
490,-82
476,-83
475,-83
482,-80
477,-83
497,-82
469,-84
478,-82
481,-83
481,-83
960,-79
501,-77
936,-77
480,-85
481,-93
957,-85
482,-86
480,-89
992,-81
448,-84
957,-83
477,-84
511,-83
457,-81
472,-83
488,-81
502,-82
459,-82
962,-82
470,-82
488,-82
474,-82
970,-83
474,-82
473,-81
999,-79
444,-89
486,-89
478,-84
473,-85
488,-84
471,-79
512,-93
448,-76
487,-78
475,-80
510,-81
452,-81
957,-78
489,-75
479,-79
471,-77
513,-79
449,-77
509,-87
458,-89
477,-81
474,-85
481,-84
503,-85
457,-88
480,-78
481,-85
483,-76
477,-77
479,-100
479,-86
481,-90
504,-93
456,-89
477,-83
486,-87
476,-85
507,-88
